,Unnamed: 0,smer-plezalisce,cena
119,119,Krvavica-osp-misja-pec,8.510629240679538
120,120,korpijon-pod-reko-planino,8.490782878099216
121,121,Franci na balanci-crni-kal,8.490029795361714
122,122,Samba-kupljenik,8.475745856687745
123,123,super B-osp,8.45101122731864
124,124,Bugs bunny-crni-kal,8.40776170219562
125,125,Uho-kotecnik,8.303213205663107
126,126,Mis mas-crni-kal,8.30296638920196
127,127,Prestop-crni-kal,8.25981215051131
128,128,Bog odpusti jim-crni-kal,8.257352737827924
129,129,Poč-iki-vintgar,8.226831650803636
130,130,Za mlade frajerje-creta,8.193676332407634
131,131,Rodeo-osp-misja-pec,8.120202044580632
132,132,Smer krokarjev-dovzanova-soteska,8.097731752723874
133,133,Razkol-pod-skalo,8.081982567604573
134,134,Gospodična Mična-crni-kal,8.051459812650627
135,135,Indeks-colnisce,7.995027792644123
136,136,2864-creta,7.869956905414242
137,137,Skunjava dveh teles-retovje,7.843853179536889
138,138,Bitka s prahom-bitnje,7.820651558416067
139,139,Spomladanska-creta,7.774727363925798
140,140,Sneguljčica-kotecnik,7.768358013673146
141,141,Kameleon-osp-misja-pec,7.680873023155117
142,142,Kosovir-crni-kal,7.675520505304813
143,143,Trdonja-creta,7.645727332756083
144,144,Druba-creta,7.607533066531197
145,145,Zgornji tuk-bitnje,7.577348891581756
146,146,Umetna-slomnik,7.573294975639662
147,147,Il giardino dell aephiornis-osp-misja-pec,7.571926484866204
148,148,Betija-bitenj-potok,7.529696500426939
149,149,Direktna-turnc,7.4928808230500605
150,150,Platka-pri-ciginju,7.469854752729434
151,151,Zajeda-kotecnik,7.438136156126148
152,152,Levi Y-crni-kal,7.411717944943802
153,153,McChicken-pod-skalo,7.319991576576958
154,154,Skis berac-crni-kal,7.317770720619647
155,155,Strigon-crni-kal,7.309473429658669
156,156,Danger zone-osp-misja-pec,7.275019009482782
157,157,Oltarček-gornji-ig,7.245618264227223
158,158,Vislice-crni-kal,7.245501266230671
159,159,Midnight moving-crni-kal,7.245362304554051
160,160,Buhteljček-iki-vintgar,7.208115417828292
161,161,Dinozaver-bohinjska-bela,7.156803456332854
162,162,Peskovnik-crni-kal,7.130313077660285
163,163,Perestrojka-creta,7.121200435439201
164,164,Scooby-doo-crni-kal,7.115650739350933
165,165,Jernejeve Sanje-kotecnik,7.066439373480341
166,166,Joetova-osp-misja-pec,7.022886807677972
167,167,Lady-bohinjska-bela,7.017677649749239
168,168,Martinova-creta,7.015113989687892
169,169,Lepota ni naklučje-kotecnik,7.010404843507158
170,170,Mars-vipavska-bela,7.00994857171642
171,171,Zeleni revirji-cerjan,6.970565656777973
172,172,Ramayana-crni-kal,6.9688394150577855
173,173,Lili-vipava,6.963177704225222
174,174,Skutrana-retovje,6.958509675383971
175,175,Buhtelj-crni-kal,6.8876672980081555
176,176,irafa-kotecnik,6.885871176603198
177,177,Mojčina-osp-misja-pec,6.87578616396576
178,178,Kepica sladoleda-kamnitnik,6.872609889405676
179,179,tango-kupljenik,6.867571073425386
180,180,Krvava nevesta-crni-kal,6.80112390277314
181,181,Vitez iz Poljan-osp-misja-pec,6.78792350383937
182,182,Liska-kotecnik,6.773200995734857
183,183,Crne luknje-kotecnik,6.7668069204490395
184,184,Slinavka-osp-misja-pec,6.727116230433676
185,185,Merlin-vipavska-bela,6.714481096882544
186,186,Marjetka-strug,6.709347628707829
187,187,A je to-bohinj,6.700614685242706
188,188,Cicero-vipavska-bela,6.69827493098817
189,189,Tirare tipanie-osp-misja-pec,6.687674627487981
190,190,Idealisch-kupljenik,6.665672505194609
191,191,Strippy-nad-savo,6.656905444434058
192,192,Lordi-kotecnik,6.632159328363615
193,193,Silvi kultura-iki-vintgar,6.584004022949788
194,194,Bodi vedno srecen-gornji-ig,6.564879518897746
195,195,Rebus-kotecnik,6.563781586456323
196,196,Hudicev smeh-kotecnik,6.5496358707561
197,197,Bucka-kotecnik,6.5397386658934495
198,198,Kajmak-kamnitnik,6.538670310788869
199,199,Luska-bohinj,6.507794730378573
200,200,Muca-vipavska-bela,6.50240134591003
201,201,Heker-crni-kal,6.495078730916363
202,202,Zadnji dnevi raja-kotecnik,6.490667830454335
203,203,Sedma boja zapoved-preddvor,6.453196428915225
204,204,Palček smuk-vipava,6.443700166493932
205,205,Nina-jereka,6.421151800428398
206,206,Vrtnica-burjakove-peci,6.410554746134949
207,207,"Pita, Feri, Lajči-osp-misja-pec",6.408513720142274
208,208,Đurotu za rojstni dan-creta,6.4076421965145025
209,209,Tinkara-preddvor,6.375988917377913
210,210,Mojster Vilko-kotecnik,6.370782545481039
211,211,Levicarka-crni-kal,6.33025398815128
212,212,Bradavičasta trdokožnica-zatrata,6.314767135868614
213,213,Takratka-armesko,6.293592935295631
214,214,13 duhov-crni-kal,6.292212513390695
215,215,Milojka-vipavska-bela,6.256961971317778
216,216,Speady Gonzales-bohinj,6.253568628279542
217,217,Rakičanka-gornji-ig,6.251566386338251
218,218,Klini-kamnitnik,6.248569275243248
