,uporabnik,sigma
1570,klemen-vodlan,1.2089258196146292e+24
1571,david-stepanjan,6.044629098073146e+23
1572,franz-fackler,0.0
1573,katja-pretnar,0.0
1574,haf-kehoe,0.0
1575,philipina-berndico,0.0
1576,gloesener-tom,0.0
1577,tom-rainbow,0.0
1578,dominique-berndt,1.152921504606847e+18
1579,philipp-trimmel,0.0
1580,jennifer-buckley,0.0
1581,mar-piz,0.0
1582,alexander-lurye,0.0
1583,marco-sarti,0.0
1584,robin-reynaud,0.0
1585,daniel-f,0.0
1586,lisa-gradwohl,0.0
1587,mee-crob,1.152921504606847e+18
1588,ashild-stapnes,0.0
1589,veronika-krizsan,0.0
1590,enrico-giorello,0.0
1591,martina-giorello,0.0
1592,miha-kof,0.0
1593,toma-binter,0.0
1594,lucio-spettu,0.0
1595,iris-hoogendoorn,0.0
1596,jernej-luka,4.722366482869645e+21
1597,christian-preschern,0.0
1598,fabrizio-giorgi,0.0
1599,jure-primc-30982,0.0
1600,evert-bovens,0.0
1601,gergely-kismarczi,0.0
1602,kornel-payer,0.0
1603,ferenc-bubb,0.0
1604,user-deactivated-10239,0.0
1605,stefano-varnerin,7.555786372591432e+22
1606,natalija-gros-f,0.0
1607,klemen-becan-5734,0.0
1608,lana-skusek,0.0
1609,gasper-azinovic,0.0
1610,matev-kotnik,0.0
1611,ambroz-kregar,17592186044416.0
1612,lovro-bozicevic-70603,0.0
1613,ivailo-fazata,0.0
1614,alex-totkova,0.0
1615,andreja-prebil,9.7998327891582e+18
1616,balazs-serenyi,0.0
1617,gianluca-daniele,0.0
1618,ivan-perasovic,0.0
1619,maila-petrucco,0.0
1620,primoz-zupancic,0.0
1621,jure-gvozdanovic,2.8823037615171174e+18
1622,alkor-kolacko,274877906944.0
1623,danua-viintin,0.0
1624,hrvoje-rimac,0.0
1625,filip-sobot,0.0
1626,tom-van-der-zalm,274877906944.0
1627,jonatan-jarc,0.0
1628,igor-koutic,1.8446744073709552e+19
1629,gregor-seliga,0.0
1630,gregor-malensek,0.0
1631,neda-podergajs,0.0
1632,nobady-none,0.0
1633,anze-arko,0.0
1634,zdravko-cerovac,0.0
1635,maja-vidmar-f,0.0
1636,slnkh-sss,0.0
1637,igor-dorotich,0.0
1638,luka-gasparovic,0.0
1639,tomo-gotic,0.0
1640,petra-milinkovic-f,0.0
1641,marko-rozman,0.0
1642,juergen-stumpf,0.0
1643,david-antunes-7994,0.0
1644,veronika-vesel-potocnik,0.0
1645,nejc-peljhan,0.0
1646,markus-eberl,0.0
1647,marko-mlakar,0.0
1648,roberto-giuffrida-roby,0.0
1649,daddy-woedmasta,0.0
1650,erik-stojanovic-k,2286984185774080.0
1651,brina-pungercic,4503599627370496.0
1652,sara-gluic,0.0
1653,katja-planinc,0.0
1654,uro-perko,0.0
1655,peter-mrak,7.555786372591432e+22
1656,martin-schidlowski,0.0
1657,miha-jerot,0.0
1658,matjaz-bohoric,0.0
1659,szymon-jakubowski,0.0
1660,urban-gros,0.0
1661,gasper-bratina,0.0
1662,marwan-zeitoun,0.0
1663,edi-bulic,0.0
1664,bon-sai,0.0
1665,toni-dikov,0.0
1666,tom-smart,0.0
1667,matev-vucer,0.0
1668,lorenzo-la-rosa-yalsf,0.0
1669,gianluca-bosonin,0.0
1670,eva-scroccaro-f,0.0
1671,irina-cherniaeva,0.0
1672,raffa-cottalorda,0.0
1673,matteo-sangalli,0.0
1674,amilcar-luciani,0.0
1675,filip-sironic,0.0
1676,julija-kruder,0.0
1677,giulia-lazzini,0.0
1678,chiara-boccali,0.0
1679,manuel-coretti,0.0
1680,matija-gros,0.0
1681,ziga-pavlic,0.0
1682,luka-klemencic,0.0
1683,jan-sajovic,0.0
1684,peter-janeic,0.0
1685,matej-vesel,0.0
1686,bozidar-peklenik,0.0
1687,jimi-ansio,0.0
1688,user-deactivated-27533,281474976710656.0
1689,ane-sajevic,68719476736.0
1690,igor-nonne,0.0
1691,demian-srpcic,0.0
1692,tadej-remic,0.0
1693,alexandru-maroiu,3355444.0
1694,ju-sch,0.0
1695,miha-plazar,5.404319552844595e+16
1696,miha-jarm-20166,1.8446744073709552e+19
1697,david-schickengrvber,0.0
1698,andrej-mady,0.0
1699,marvin-winkler,0.0
1700,alexandra-sadler,0.0
1701,martinique-p,0.0
1702,dominik-boesch,0.0
1703,thomas-zeindl,0.0
1704,dariusz-nosal,0.0
1705,manuel-tanzer,0.0
1706,raymond-linklater,0.0
1707,ross-cooper,0.0
1708,michal-wisniewski,0.0
1709,daniel-olszewski,0.0
1710,piotrek-m,0.0
1711,bartosz-nowak-72350,0.0
1712,daniel-krommen,17592186044416.0
1713,holger-jorschick,0.0
1714,marta-szopa,0.0
1715,przemek-diener,0.0
1716,roberto-dominguez,0.0
1717,fridolin-sent-1xf7n,0.0
1718,pedro-borbolla,0.0
1719,johanna-vuijk,0.0
1720,joseba-uranga,274877906944.0
1721,vicen-ardacho,0.0
1722,ziga-krzicnik,68719476736.0
1723,jeff-jenny,0.0
1724,anthony-van-herrewege,0.0
1725,ale-bohorc,0.0
1726,juan-korkuerika,0.0
1727,benny-hartmann,0.0
1728,jimmy-norlen-5397,0.0
1729,tomaz-zuzel,0.0
1730,rok-malek,0.0
1731,kaja-mlekuz,0.0
1732,lukas-wubben,0.0
1733,renato-pinheiro,0.0
1734,ziga-ziga,1125899906842624.0
1735,ante-anzulovic,4503599627370496.0
1736,felix-kallfass,0.0
1737,iga-rozman,0.0
1738,d-r,0.0
1739,tina-hostinger,0.0
1740,zoran-mesec,0.0
1741,oliver-bader,0.0
1742,jere-cokaric,0.0
1743,timon-cujic,0.0
1744,domagoj-zepec,0.0
1745,renata-kostic,0.0
1746,matej-gjurkovic,274877906944.0
1747,matej-salkovic,0.0
1748,chris-van-ewijk,0.0
1749,sanjin-mehmedika,0.0
1750,moldrien-perez,0.0
1751,mare-magonga,0.0
1752,doroteja-pavlin,0.0
1753,user-deactivated-40838,0.0
1754,milena-georgieva,0.0
1755,domen-kolsek,0.0
1756,domagoj-bobnjaric,0.0
1757,ira-fabijanic,0.0
1758,marija-cucek,0.0
1759,dario-juricic,0.0
1760,filip-belak,0.0
1761,ivan-jakab,281474976710656.0
1762,luka-margan,0.0
1763,dario-juricic-36510,0.0
1764,john-john,0.0
1765,srecko-ivanisevic,0.0
1766,saa-starcevic,0.0
1767,boris-imunko,0.0
1768,ivana-bilic,0.0
1769,maximilian-fieger,0.0
1770,salabash-anastasiia,0.0
1771,miha-britovsek-15807,0.0
1772,vitaly-lagutin,0.0
1773,matic-caks,0.0
1774,12218,0.0
1775,rok-klancnik,0.0
1776,luka-tame,0.0
1777,cristian-todorovic,0.0
1778,bor-pungercic,0.0
1779,numbers,0.0
1780,tim-collier,0.0
1781,michal-skrzypek,0.0
1782,sergio-pavesi,0.0
1783,rainer-gwiggner,0.0
1784,hrvoje-grancaric,0.0
1785,martin-g,0.0
1786,jeroen-snel,0.0
1787,kees-breek,0.0
1788,matjaz-kosic,0.0
1789,roland-sint,0.0
1790,urh-primozic,0.0
1791,bine-knabl,0.0
1792,david-schmidt,0.0
1793,lorenzo-serafini,0.0
1794,fabian-wolfsgruber,0.0
1795,tuomas-tervo,0.0
1796,bla-malej,0.0
1797,martin-bergant,0.0
1798,blaz-gladek,0.0
1799,andrej-jausovec,0.0
1800,jernej-enk,0.0
1801,michal-witek,0.0
1802,darek-daras,0.0
1803,lucia-willems-ramirez,0.0
1804,katrin-lindemann,0.0
1805,aljosa-bremec,0.0
1806,luca-trevisan,0.0
1807,christoph-detschmann,0.0
1808,rafal-mojzess,0.0
1809,nurisso-luca,0.0
1810,marco-bauer,0.0
1811,daniel-jung,0.0
1812,vanda-michalkova,0.0
1813,lucy-russo,0.0
1814,alex-khazanov,0.0
1815,raffael-stein,0.0
1816,nejc-pahovnik,0.0
1817,florian-brosig,0.0
1818,romeo-chira,0.0
1819,laszlo-gaal,0.0
1820,damjan-hodnik,0.0
1821,michael-schulz,0.0
1822,jonas-gr,0.0
1823,arvid-knegt,0.0
1824,jakob-tomse,0.0
1825,f-g,0.0
1826,gabrielesbisighin-gorobey,0.0
1827,goran-glumac,0.0
1828,christoph-sauer,0.0
1829,mario-novak,0.0
1830,marcus-sonst,0.0
