,uporabnik,sigma
242,kuba-polak,3.7469948899722527e+18
243,mateusz-dybek-dybas,2.8823037615171174e+18
244,tomel-buk,2.9514790517935283e+20
245,kam-stopa,3.098476543630901e+18
246,caro-regensburger,0.0
247,ania-blaszkiewicz-65535,0.0
248,maciek-swedziol,1.152921504606847e+18
249,marc-basmer,0.0
250,ante-vujinovic,5.854679515581645e+16
251,lukasz-hubert,7.205759403792794e+16
252,rafal-w,0.0
253,wojciech-p,0.0
254,amanda-davies,0.0
255,moreno-vrancich,0.0
256,eva-puhar,0.0
257,benjamin-roposch,1.1805916207174113e+21
258,michal-semow,7.205759403792794e+16
259,blazej-winiarski,0.0
260,ursa-krenk,1.152921504606847e+18
261,moritz-trichtl,95291365654528.0
262,david-weide,0.0
263,sara-lanca,0.0
264,marc-mach,0.0
265,tilen-rupar,1970324836974592.0
266,lukasz-kobierski,0.0
267,dani-puigdomenech,0.0
268,piotr-dudziak,0.0
269,ali-h,0.0
270,daniele-mattioli,1.152921504606847e+18
271,alvin-tudor,0.0
272,ema-seliskar,8.811614356638045e+18
273,brian-stevens,0.0
274,marcin-jedynski,2.8823037615171174e+18
275,milena-ciechanowska,0.0
276,marko-suncetizarko,1.2328573955929216e+21
277,michal-bak,0.0
278,rok-molan,4.722366482869645e+21
279,patrick-englebert,0.0
280,gosia-gawryluk,0.0
281,joachim-cecerski,0.0
282,patrik-zazvonil,68719476736.0
283,ivan-pevec,3.781582535110458e+19
284,piotr-suder,0.0
285,kamil-mucha-26250,1.152921504606847e+18
286,peter-zainzinger-70040,0.0
287,tepa-bula-z-jury,4.722366482869645e+21
288,tom-riemschneider,27930709196.8
289,agnieszka-michalak,0.0
290,aleksandra-zejdler,1073741824.0
291,nick-ostrouh,0.0
292,marcin-b,0.0
293,marcin-wesoly,0.0
294,tomasz-antonik,1.152921504606847e+18
295,patryk-dudek,4.611686018427388e+18
296,bartosz-surowka,0.0
297,michal-obrzut,0.0
298,krzysztof-zysk-imperator,0.0
299,ettore-di-matteo,0.0
300,szymon-krolinski,0.0
301,marian-oska,0.0
302,david-hozic,7.205759403792794e+16
303,sonia-hetmanczyk,6.665327448508334e+17
304,filip-orewczyk,0.0
305,bartlomiej-orzytkiewicz,1.8446744073709552e+19
306,v-kuznetsov,0.0
307,marija-milosavljevic,1.152921504606847e+18
308,tomek-polec,3.61695345073193e+16
309,wojtek-pelka,1.6056046041756794e+23
310,nikodem-balon,0.0
311,mateusz-nawratek,4.722366482869645e+21
312,stefan-madej-0fk4e,1.888946593147858e+22
313,krzysztof-grubecki,1.152921504606847e+18
314,florin-ninnu,0.0
315,tomasz-hajek,4503599627370496.0
316,casey-elliott,0.0
317,piotr-weglowski,0.0
318,rybcia-rybcia,0.0
319,dominik-wisniewski,0.0
320,sebasstian-eichholzer,0.0
321,michael-kofler,0.0
322,yasna-bozic,2.305843009213694e+18
323,christian-poglitsch,0.0
324,gabor-vajoczki-33825,4.722366482869645e+21
325,philip-schreiner,0.0
326,lukasz-debowski-5170,9007199254740992.0
327,ksenia-targosz,281474976710656.0
328,peter-szij,6.686944726719712e+20
329,gianfranco-dusic,6.07161404940383e+21
330,bastian-wagner,0.0
331,sebastian-castenetto,4.611686018427388e+18
332,abel-kalamar,0.0
333,maxi-karrer,0.0
334,lucas-h,1.1805916207174113e+21
335,martin-senghas,0.0
336,daniel-mueller,0.0
337,bene-karg,0.0
338,luisa-rabus,0.0
339,denis-krebelj,4.4515267566790246e+17
340,stefano-bertolini,0.0
341,lampros-theocharis,1.152921504606847e+18
342,matic-obid,3.935305402391371e+21
343,pietro-paolo-piccoli,0.0
344,pawel-pospiech,4.611686018427388e+18
345,mateusz-gajczewski,0.0
346,ewa-czar-69801,0.0
347,mani-hubaer,5.047029178566933e+22
348,grzegorz-makiela,2.9514790517935283e+20
349,thorsten-wandl,7.37869762948382e+20
350,mateusz-mazur,0.0
351,toma-wojcik,0.0
352,sasa-vidmar-f,4.2930604389724046e+21
353,mateusz-mazur-13783,0.0
354,tomek-stangret,0.0
355,zoltan-lakatos,2.3264308932245304e+18
356,jaka-jaki,4.722366482869645e+21
357,borsuk-j,0.0
358,p-kwoku,1.152921504606847e+18
359,slawomir-kiczmer,0.0
360,m-gutek,1202590842880.0
361,maximilian-lenz,1.152921504606847e+18
362,pawel-kida,4.611686018427388e+18
363,michael-piccolruaz,0.0
364,stefan-scarperi,0.0
365,patrick-tirler,0.0
366,alexandra-ladurner-f,0.0
367,elisabeth-lardschneider,0.0
368,pawel-walczak,4.722366482869645e+21
369,marcel-mumel,1.833347678386258e+16
370,balazs-benke,5.902958103587057e+20
371,ana-marsic,68719476736.0
372,ester-prendivoj,595568798378.6666
373,monika-varga,1.152921504606847e+18
374,flaska-peter-41352,4.611686018427388e+19
375,jacek-kaczanowski,0.0
376,nico-ferlitsch,1.9342813113834067e+25
377,mitja-meznarsic,4.722366482869645e+21
378,christoph-barthel,0.0
